filename	title	document_type	classification	security_level	date	origin_agency	sender	recipient	summary
104-10051-10170	ANNEX B THE 201 SYSTEM	Handbook Annex	Administrative	SECRET	1974-11-15	DDO/RMO		Field Stations and Headquarters desks	This document outlines the 201 system, a method for identifying individuals of interest to the Operations Directorate, controlling information about them, and producing lists based on various categories. It details the 201 number, dossier, master record, OI codes, and procedures for opening, maintaining, and canceling 201 dossiers, including restrictions and information requests.
104-10052-10130	Contact Report/ITAMII-9	Dispatch and Memorandum	Liaison	SECRET	1963-07-31	Chief of Station, Mexico City	Chief of Station, Mexico City	Chief, WHD	Contact reports of meetings with LI TAMIL-9 on 17 and 29 July 1963, including information on Cuban celebrations, embassy employee transactions, and potential recruitment targets.
104-10059-10099	Robert West Pugh Covert Security Approval and Investigation	Memorandum	Security	SECRET	1966-05-27	Office of Security	Deputy Director of Security	DD/S-HB	This collection of documents pertains to the covert security approval and subsequent investigation of Robert West Pugh, who was considered for a position as a First Officer in the Far East under Project HBILKA/JBGREED. The documents detail the initial approval, concerns raised regarding Pugh's past drinking problem and his brother's alleged communist associations, and the eventual cancellation of his employment following his resignation.
104-10059-10188	MEMORANDUM FOR THE RECORD - OSWALD-Nosenko	Memorandum	Oswald	UNCLASSIFIED	1968-07-29	C/CI/RTA	Rocca	THE RECORD	Memorandum regarding aspects of Nosenko's information on the Oswald case, specifically concerning Irina Shurakova's activities and reaction to the Oswald display at a wax museum.
104-10061-10053	Report on Antonio RODRIGUES Echanabal	Report	Liaison	SECRET	1962-02-05	MB	Chief, MB	Chief of Station, Paris	Report on Antonio RODRIGUES Echanabal. Includes biographical information, diplomatic postings, and defection from the Cuban government. Requests debriefing results from French authorities.
104-10062-10227	List of HMYA and MAYA Files Related to Mexican Operations and Individuals	Transmittal Slip/Memo	Mexico	SECRET	1977-06-16	Unspecified	Unspecified	Unspecified	This document contains a list of various HMYA and MAYA files related to different operations, propaganda, correspondence, and individuals in Mexico. It also includes information on projects like LIRULE, LIRAZBIT, and LIVACATE, as well as references to PCM activities, KAPOK receipts, and political actions.
104-10063-10206	WOMUSE: 'Peace' Demonstrations	Dispatch	Operations	CONFIDENTIAL	1967-10-11	Chief of Base, Washington Sac	Chief of Base, Washington Sac	Chief, DO/I	This dispatch concerns the Catholic Association for International Peace (CAIP) and its activities, including 'Peace' Demonstrations and its 40th Annual Conference on 'Selective Conscientious Objection in an Age of Conflict.' Oliver H. CORBUSTON joined CAIP for cover purposes and provided the materials.
104-10064-10012	RYBAT MIPASHA REDTOP - Beheiren and the Four U.S. Navy Deserters	Dispatch	Operations	UNKNOWN	1967-12-06	CIA	Chief of Station, Tokyo	Chief, Sov Bloc Div; Chief, Far East Division; Chief, WOMUSE/ICG	This dispatch from the Chief of Station in Tokyo details the activities of BEHEIREN, a Japanese anti-Vietnam War organization, and its involvement in the defection of four U.S. Navy sailors to the USSR. It outlines the organization's structure, key figures, and connections with Soviet officials and U.S. pacifist groups. The document also discusses BEHEIREN's propaganda efforts and the potential impact of the defection case on the organization's growth and influence.
104-10065-10028	Ramon Joseph ALVAREZ Durant and Project LIEMPTY Operations	Report	Operations	SECRET	1972-06-30	CIA	Unknown	Unknown	This document details the activities of Ramon Joseph ALVAREZ Durant and related personnel involved in Project LIEMPTY, a photo surveillance operation targeting the Soviet Embassy from 1955 to 1972. It outlines ALVAREZ's role as a cutout and photo technician, as well as the involvement of other individuals like Hester ROOS (LIEMPTY-19), Oliver G. SCANTLING (Juan N. FRAIS-RAMIRRZ), and Jorge Barcello VILLAGRAn Alvarez (LIEMPTY-6). The report also describes the setup and function of the various basehouses (LIMITED, LILYRIC, LICALLA) used for surveillance.
104-10066-10010	RELEASE UNDER THE PRESIDENT JOHN F. KENNEDY ASSASSINATION RECORDS ACT OF 1992	Cable	John F. Kennedy Assassination Records Act of 1992	SECRET	1977-11-14	CIA	DIRECTOR	LISBON INFO LONDON MEXICO CITY	This document discusses the U.S. House of Representatives Select Committee on Assassinations' investigation into the assassinations of President Kennedy and Dr. Martin Luther King, focusing on leads in Portugal, the UK, and Mexico related to James Earl Ray. The committee seeks assistance from Portuguese National Police and access to their files. The CIA is cooperating with the committee but prefers overt functions to be handled by LEGATTS or others publicly identifiable.
104-10066-10076	OTS (late TSD) and Jim McCord's Cuban Activities; Summary of STESCALADE - Audio Operation Against the New China News Agency in Havana; RELEASE CONTINGENCY OPLAN 62-2	Memorandum	Operations	SECRET	1960-09-20	CIA	RUDOLPH E. GOMEZ, Acting Chief, WH; RICHARD I. SKINNER	DIRECTOR OF CENTRAL INTELLIGENCE	These documents discuss covert operations related to the New China News Agency in Havana and contingency plans for the release and repatriation of TSD employees arrested in Cuba.
104-10068-10142	ROKETING	Cable	Liaison	SECRET	1963-11-25	CIA	DIRECTOR	STDEY INFO CANBERRA	This cable discusses a telephone conversation regarding a possible Soviet government connection to the assassination and assigns responsibility for contact with a Polish driver to KUBARK.
104-10068-10164	Request permission to train LEGROUP-1	Cable	Operations	SECRET	unknown	CIA	DIR	DESIOCEN	This document discusses training and permission requests related to operations. It references LEGROUP-1, SM Match $23209, and Developer $22669. It involves training INROUP-6 to use Match.
104-10068-10172	FIOPP Seminar in Mexico City; Request for Traces on Cuban Attendees	Cable	Mexico	SECRET	1963-11-13	MEXI	PACY	DDP, CI/OPS, CA 2, CA/PEG, CA/PROP, FI, FI/INT 2, WH 7, SAS 8, WR	Cable discussing the Federacion Interamericana de Organizaciones de Periodistas Profesionales (FIOPP) seminar in Mexico City and requesting traces on attendees from the Colegio Nacional de Periodistas de la Republica de Cuba (in exile).
104-10069-10077	Reported Use of Yacht Potomac by Alpha 66	Memo	Cuba	CONFIDENTIAL	1962-11-27	LAFO	LAFO	UUCG	This memo discusses a report regarding the potential use of the yacht Potomac by the Alpha 66 organization for transporting weapons. An unsolicited phone call to LAFO reported the vessel was taking on a cargo of weapons crated as Argentine beef, and destined to leave soon for Seattle. The informant identified Wes Davis and Cliff Roberts as being on board.
104-10069-10112	Robert Prachett/ Cuban Counterrevolutionary Group, Alpha-66	Memorandum	Cuba	UNCLASSIFIED	1962-08-31	New York Office	Chief, New York Office	Chief, Contact Division	Memorandum from the Chief of the New York Office to the Chief of the Contact Division regarding Robert Prachett, a US citizen with contacts in the Cuban counterrevolutionary group Alpha-66, and his potential use as a source of information.
104-10069-10120	Cuban Refugee Group	Memorandum	Cuba	SECRET SENSITIVE	1962-08-31	Minneapolis Office	Chief, Minneapolis Office	Chief, Contact Division	Memorandum from the Chief of the Minneapolis Office to the Chief of the Contact Division regarding a Cuban refugee group and their activities. The memo discusses providing assistance to the group in exchange for agency control and includes a list of key individuals involved in shuttling supplies and people between Cuba and the US.
104-10069-10132	Specific Information concerning Lam A	Report	Operations	SECRET	1963-07-21	Chief of Station, Viet Nam	Chief of Station, Viet Nam	Chief, FE	This document contains specific information concerning Lam A, including a description of the subject, their activities during the war, and their involvement in various operations.
104-10069-10185	Operational/GYROSE Agreed Activities	Dispatch	Operations	SECRET	1962-07-03	CIA	Chief of Station, JMWAVE	Chief, Task Force W	This dispatch discusses agreed activities between JMWAVE and ACSI, including refugee referral procedures, infiltration operations, and coordination of resources like W/T assets and secret writing. It also highlights concerns about cooperation from Lt. Col. Causes and potential issues at the Opa Locka center.
104-10069-10260	Information Council of the Americas (INCA) and Truth Tapes Program	Memo	Operations	UNCLASSIFIED	1965-05-05	CIA	Chief, New Orleans Office	Chief, Contact Division; Att'n: Nonsov Bloc Area	This memo discusses the Information Council of the Americas (INCA) and its Truth Tapes program aimed at combating Communist penetration in Latin America. It details interactions with Edward Scannell Butler, INCA's Executive Vice President, and explores the potential of INCA's correspondence files as a source of information on radio broadcasting stations in Latin America. The memo also seeks input on additional topics for INCA's questionnaire to gather technical information about the stations.
104-10069-10359	Current Address of Maurice Halperin	Routing and Record Sheet	Cuba	SECRET	1962-12-27	CIA	Chief, Contact Division (Support) Stuntz	TFW	This document discusses the current address of Maurice Halperin, who is believed to be living in Havana, Cuba. The information was obtained from a source who received a Christmas card from Halperin. The document highlights Halperin's past activities and associations.
104-10070-10079	Review and Analysis of AMFAUNA Operation	Dispatch	Cuba	SECRET	1962-07-11	JMWAVE	Chief of Station, JMWAVE	Chief, Task Force W	This dispatch discusses the AMFAUNA operation, focusing on AMFAUNA-1, a Cuban national recruited and trained in the United States who returned to Cuba to serve as a resident agent in Havana. The document details his operational methods, security precautions, communications, finances, sub-agents, background, motivation, and previous history of the operation from January 1961 to April 1962.
104-10070-10272	International Institute for Peace	Report	Liaison	SECRET	1961-08-06	Israeli Liaison		MAKI leaders in ISRAEL	This document is a report from an Israeli liaison detailing Latin American public figures who signed an appeal to convene the Latin-American Conference for National Sovereignty, Economic Emancipation, and Peace in Mexico in March 1961. It lists signatories from Argentina, Brazil, Chile, Colombia, Cuba, Honduras, Mexico, Peru, Puerto Rico, and Salvador.
104-10070-10296	Case 9145: Research Institute of America and Covert Operations	Memorandum/Dispatch/Cable/Report	Operations	SECRET	1952-01-18	CIA	Lea, Ashcraft, Support (Coleman), Support (Travis), McCann, Millard	Ashcraft, Travis, Lea, Connor	This collection of documents pertains to Case 9145, involving the Research Institute of America and Leo Cherne's cooperation with the CIA to provide cover for agents. The documents detail arrangements for meetings, background information on William J. Acom, and the extent of Cherne's involvement in backstopping the cover story.
104-10071-10060	WOMUSE: "Peace" Demonstrations	Dispatch	Operations	SECRET	1967-10-11	CIA	Chief of Base, Washington	Chief, DO/I	This document discusses 'Peace' Demonstrations and the Catholic Association for International Peace (CAIP). It includes information on literature mailed by CAIP to its members concerning "Negotiation Now!" and its 40th Annual Conference, which is themed "Selective Conscientious Objection in an Age of Conflict."
104-10071-10122	Transmittal of Reports	Dispatch	Operations	SECRET	1955-05-14	CIA	Senior Representative, New Delhi	Chief, FORA	This dispatch contains reports and notes from TERLAUP regarding operational and intelligence matters. It also discusses the preliminary debriefing of THERIAULT, including financial arrangements, the possibility of developing an interest in Krishna Menon, and an invitation to visit the U.S. Additionally, it includes general comments on the Ford Foundation's work in India, Evelyn Hersey's role, and the Delhi Training and Orientation Centre. The dispatch also touches on Communist organization of domestic workers in New Delhi and the State Department's policy on visits to China.
104-10071-10139	Information Concerning Suspect in Martin Luther King Jr. Assassination	Message	Cable	SECRET	1968-04-18	CIA	Director	Asuncion, Bangkok, Barcelona, Beirut, Berlin, Bern, Bogota, Brasilia, Brussels, Buenos Aires, Caracas, Copenhagen, Frankfurt, Geneva, Georgetown, Guatemala City, Guayaquil, The Hague, Hamburg, Helsinki, Hong Kong, Kingston, La Paz, Lima, London, Madrid, Managua, Montevideo, New Delhi, Lisbon, Manila, Munich, Oslo, Panama City, Paris, Port Au Prince, Port of Spain, Porto Alegre, Quito, Recife, Rawalpindi, Rio de Janeiro, Rome, San Jose, Santo Domingo, San Salvador, Santiago, Santiago de los Caballeros, São Paulo, Stockholm, Tegucigalpa, Tokyo, Vienna, Zurich	This cable discusses information furnished by LNERGO concerning the suspected assassin of Martin Luther King, Jr., Eric Starvo Galt, and requests addressees to determine if Galt is or has been in their area.
104-10071-10239	Case Rundown and Incidents	Memo	Security	Unclassified	1960-04-18	CIA		British Intelligence	This memo discusses a case rundown prepared in SR/3/FI for discussions with the British in 1960 regarding an unstable American woman correspondent in Brussels who revealed anti-Soviet sympathies and later visited the subject in Moscow after being warned to avoid him.
104-10071-10404	Identification of James Earl Ray as Accused Assassin	Message Form	Liaison	SECRET	1968-04-19		CIOP/DC	DCI, DIDCI, DOP, AODD, CS/RF c/EUR, C/WH, CIFE	This document identifies James Earl Ray as the accused assassin, providing his physical description, aliases, criminal record, and details of his escape from Missouri State Penitentiary.
104-10072-10001	Field Information Report: Guatemalan Exile Activities	Report	Operations	SECRET	1956-02-01	Unspecified	San Jose, Costa Rica	Washington	This document is a field information report from San Jose, Costa Rica, dated February 1, 1956, concerning Guatemalan exile activities. It includes a translated letter from Col. Carlos PAZ Tejada to Col. Francisco COSENZA Galvez, discussing a failed revolt, political relationships, and future plans.
104-10072-10013	Clog & Singer, Boviot Bacar Shat	Report	Operations	SECRET	1961-12-14	CENTRAL INTELLIGENCE AGENCY	FI/SIG and SR/6	STATE ARMY NAVY	Report on Clog & Singer, Boviot Bacar Shat, discussing their activities and connections, including involvement in festivals and research work, as well as their political views and associations with various individuals and organizations.
104-10072-10034	Information Concerning Suspected Assassin of Martin Luther King, Jr.	Cable	Operations	SECRET	1968-04-18	CIOP/DO	DIRECTOR	ASUNCION, BANGKOK, BARCELONA, BEIRUT, BERLIN, BERN, BOGOTA, CARACAS, BRASILIA, BRUSSELS, BUENOS AIRES, COXNEXOONS COPENHAGEN, FRANKFURT, GENEVA, GEORGETOWN, GUATEMALA CITY, GUAYAQUIL, THE HAGUE, HAMBURG, HELSINKI, HONG KONG, KINGSTON, LA PAZ, LIMA, LONDON, MADRID, MANAGUA, MONTEVIDEOS, NEW DELHI, LISBON, MANILA, MUNICH, OSLO, PANAMA CITY PARIS PORT AU PRINCE, PORT OF SPAIN, PORTO ALEGRE, QUITO, RECIFE, RAWALPINDI, RIO DE JANERIO, ROME, SAN JOSE, SANTO DOMINGO, SAN SALVADOR, SANTIAGO, SANTIAGO DE LOS CABALLEROS, SAO PAULO, STOCKHOLM, TEGUCIGALPA, TOKYO, VIENNA, ZURICH	Cable regarding information furnished by LNERGO concerning suspected assassin of Martin Luther King, Jr. - Eric Starvo Galt, alias Harvey Lowmyer, alias John Willard.
104-10072-10212	List of Names, Green List Numbers and 201 Numbers	List	Cuba	SECRET	1962-04-04		CIA /S/ A. J., Amorf		This document is a list of names with associated 'Green List Numbers' and '201 Numbers'. It includes names such as FERNANDEZ Coto, Milagros; MR LAS CASAS Alfonso, Crecten Leovor; MEMEZ Gonzalez, Jorge Joss; and many others. The document also notes it is a '2025 RELEASE UNDER THE PRESIDENT JOHN F. KENNEDY ASSASSINATION RECORDS ACT OF 1992' and includes a 'POA CANCELLED' notice dated '4/4/62'.
104-10072-10227	Transmittal of Contact Reports for First Two Meetings with AMCLOCK/1	Dispatch and Contact Reports	Cuba	SECRET/RYBAT	1967-10-13	AIPO/COS, JMWAVE	Howard G. FIGALAN	Chief, WH/Cuba; COS, JMWAVE; Chief, DOD; Chief of Base, New York	This document includes a dispatch regarding contact reports from Peter J. DI GERVENO concerning his meetings with AMCLOCK/1 in September 1967. The reports detail AMCLOCK/1's activities, observations, and intelligence production, including his views on the PBRUMEN government and security matters.
104-10072-10228	Contact Report/ LITAMIL-9	Dispatch	Mexico	SECRET	1963-05-21	Chief of Station, Mexico City	Chief of Station, Mexico City	Chief, SAS; Chief of Base, Merida; Chief of Station, WAVE; Chief, WHD	Contact reports from Mexico City regarding LITAMIL-9's interactions and information obtained in May 1963. Includes details on Cuban Embassy personnel, potential security risks, and political observations.
104-10072-10289	Special Activities Report on JMWAVE'S Relationship with AMCARBON-1	Dispatch	Operations	SECRET	1964-04-02	Chief, Special Affairs Staff	Chief, Special Affairs Staff	Chief of Station, JMWAVE	Special Activities Report on JMWAVE's relationship with AMCARBON-1, detailing operational support tasks, intelligence furnished, and use as a propaganda outlet.
104-10073-10061	Report of Conditions in El Salvador	Report	Cuba	CONFIDENTIAL	1962-06-07	CENTRAL INTELLIGENCE AGENCY	Jose Julio Fernandez Coclerres	Revolutionary Council of Cuba	Report of Conditions of the Country Inhabited by a Special Representative of the Cuban National Revolutionary Council
104-10073-10074	AMCUTLER-1 Progress Report for November and December 1962	Dispatch	Operations	SECRET	1963-01-09	JMWAVE	Chief of Station, JMWAVE	Chief, Task Force W	Progress report for AMCUTLER-1 operation in November and December 1962, detailing support for AMTAUNA, development of KUTUBE operations, potential courier channels, and information on individuals related to Cuba.
104-10073-10101	Debriefing of AMFAUNA-14	Dispatch	Cuba	SECRET	1963-12-09	CIA	Chief of Station, JMWAVE	Chief, Special Affairs Staff	This dispatch details the debriefing of AMFAUNA-14, a KUBARK agent, following her detention and interrogation by the DSE (Cuban State Security Department) in November-December 1963. It covers her arrest, conditions of detention, the DSE officers involved, and the information she provided, including details of her contacts, Luis Braulio VILLAR Negret and Angel BRINGAS, and her relationship with AMFAUNA-1. The dispatch also contains the station's comments and cross-references.
104-10073-10113	LING Lindsey, WEINER Heins Theotor	Memo	Cuba	UNCLASSIFIED	1961-03-02	Deputy Director, plang		Director of Special Investigation, Inspector Genere, USAP	This memo discusses Lindsey LING and Heinz Theodor WEINER. LING was contacted in Santa Maria, the Azores, by Eloy GUTIERREZ Manoyo and Rafael HERNANDEZ, both Cuban nationals. LING managed a Chinese restaurant in Madrid owned by an unidentified Chinese national who supplied clothing to US personnel. WEINER was arrested in the Azores on suspicion of espionage and was reportedly in Bermuda.
104-10073-10133	Information Report on Castro Agents in the US	Information Report	Cuba	CONFIDENTIAL	1961-06-01	Army	Army representative assigned to the office of preparation	STATE, ARMY, NAVY, AIR, FBI	Report discussing Castro agents in the US attempting to determine military training camp locations and operations. Includes names of suspected individuals such as Mowerco Nunez and Angel Banos.
104-10074-10007	Information on William Z. Foster and French Communist Party	Letter	Liaison	UNCLASSIFIED	1952-12-08	Unspecified	Unnamed Official	J. Edgar Hoover	This document is a letter from an unnamed official to J. Edgar Hoover regarding information on policy matters discussed by William Z. Foster and members of the French Communist Party in Paris. The letter summarizes actions taken by the organization on Foster's trip, including alerting stations on his itinerary and reporting on his meetings with Thorez and Duclos. The letter also mentions information from H.I.6, Section 7 regarding topics discussed at a meeting.
104-10074-10413	Report on Jose Xavier CORTES Hernandez	Report	Mexico	SECRET	1960-12-15	CIA	Mexico City	Headquarters, EMB, PAO, NA, AA, INS, LA, JIPUCK	Report regarding Jose Xavier CORTES Hernandez and his interactions with the Cuban Embassy in Mexico City.
104-10075-10042	Cable regarding individuals Luis (Goicochea), Israel (Garcia), Carlos (Diago), Manuel (Garcia) Suarez, and Juan (Mulatt) Sanchez	Cable	Cuba	SECRET	1963-11-29		JMWAVE	DIRECTOR	This cable references individuals identified as Luis (Goicochea), Israel (Garcia), Carlos (Diago), Manuel (Garcia) Suarez, and Juan (Mulatt) Sanchez. It also mentions a reference cable WAVE 6123 and discusses typic Antrunk Antrunk.
104-10075-10099	SIGHTING OF TANKS WITH TWIN CANNONS IN THE AREA OF HABANA	Report	Cuba	SECRET	1963-11-27	Central Intelligence Agency	DIRECTOR	DDP, ADDP, S90 6, DODS, CA 2, CA/PEG, CA/PROP, CI/OPS, C/FIC 2, FI/INFO/I/INT 6, SAS 12, 50/1, WH 8, AD/CI 2, AD/ME/VR	Report on the sighting of tanks with twin cannons in the area of Habana on 23 November 1963.
104-10075-10200	DIR CITE WAVE 8097 - Intelligence Operations in Cuba and Latin America	Cable	Cuba	SECRET	1963-11-23	JAMAVE	JAMAVE	DIRECTON	This cable from JAMAVE to DIRECTON discusses various intelligence operations and requests information on individuals and activities related to Cuba and Latin America, including arms shipments, chartered flights, and personnel lists. It also provides clarifications on the identities of code names used in the message.
